===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 70 || Timer: 0.0898 sec. || PSNR: 26.7459 dB
===> Processing image: 71 || Timer: 0.0963 sec. || PSNR: 26.7335 dB
===> Processing image: 72 || Timer: 0.0887 sec. || PSNR: 28.1848 dB
===> Processing image: 73 || Timer: 0.0894 sec. || PSNR: 21.3555 dB
===> Processing image: 74 || Timer: 0.0874 sec. || PSNR: 20.9021 dB
===> Processing image: 75 || Timer: 0.1101 sec. || PSNR: 18.9206 dB
===> Processing image: 76 || Timer: 0.0948 sec. || PSNR: 23.9031 dB
===> Processing image: 77 || Timer: 0.0955 sec. || PSNR: 21.9939 dB
===> Processing image: 78 || Timer: 0.0887 sec. || PSNR: 24.0351 dB
===> Processing image: 79 || Timer: 0.0957 sec. || PSNR: 22.2065 dB
===> Processing image: 80 || Timer: 0.0824 sec. || PSNR: 23.5304 dB
===> Processing image: 81 || Timer: 0.0859 sec. || PSNR: 25.1801 dB
===> Processing image: 82 || Timer: 0.0923 sec. || PSNR: 26.6537 dB
===> Processing image: 83 || Timer: 0.0864 sec. || PSNR: 21.1595 dB
===> Processing image: 84 || Timer: 0.0826 sec. || PSNR: 29.2335 dB
===> Processing image: 85 || Timer: 0.0883 sec. || PSNR: 26.8213 dB
===> Processing image: 86 || Timer: 0.0868 sec. || PSNR: 33.5542 dB
===> Processing image: 87 || Timer: 0.0959 sec. || PSNR: 26.9278 dB
===> Processing image: 88 || Timer: 0.1003 sec. || PSNR: 22.7392 dB
===> Processing image: 89 || Timer: 0.0925 sec. || PSNR: 22.6884 dB
===> Processing image: 90 || Timer: 0.0831 sec. || PSNR: 23.4023 dB
===> Processing image: 91 || Timer: 0.0844 sec. || PSNR: 23.9427 dB
===> Processing image: 92 || Timer: 0.0925 sec. || PSNR: 20.4636 dB
===> Processing image: 93 || Timer: 0.0966 sec. || PSNR: 22.1372 dB
===> Processing image: 94 || Timer: 0.0903 sec. || PSNR: 22.5259 dB
===> Processing image: 95 || Timer: 0.1020 sec. || PSNR: 22.7725 dB
===> Processing image: 96 || Timer: 0.0869 sec. || PSNR: 21.6913 dB
===> Processing image: 97 || Timer: 0.0911 sec. || PSNR: 22.9839 dB
===> Processing image: 98 || Timer: 0.0861 sec. || PSNR: 20.5522 dB
===> Processing image: 99 || Timer: 0.0853 sec. || PSNR: 22.8323 dB
===> Processing image: 100 || Timer: 0.0906 sec. || PSNR: 22.8271 dB
===> Epoch 2 Complete: Avg. PSNR: 24.9016 Best Epoch 2 Best PSNR: 24.9016
===> Epoch 3 Complete: Avg. Loss: 0.0372
===> Processing image: 1 || Timer: 0.1146 sec. || PSNR: 23.4951 dB
===> Processing image: 2 || Timer: 0.1145 sec. || PSNR: 24.8272 dB
===> Processing image: 3 || Timer: 0.1125 sec. || PSNR: 29.5817 dB
===> Processing image: 4 || Timer: 0.1122 sec. || PSNR: 20.9330 dB
===> Processing image: 5 || Timer: 0.1128 sec. || PSNR: 23.1259 dB
===> Processing image: 6 || Timer: 0.1121 sec. || PSNR: 25.8527 dB
===> Processing image: 7 || Timer: 0.1120 sec. || PSNR: 24.5780 dB
===> Processing image: 8 || Timer: 0.1127 sec. || PSNR: 25.1853 dB
===> Processing image: 9 || Timer: 0.1180 sec. || PSNR: 24.7296 dB
===> Processing image: 10 || Timer: 0.1127 sec. || PSNR: 23.1479 dB
===> Processing image: 11 || Timer: 0.1150 sec. || PSNR: 21.9948 dB
===> Processing image: 12 || Timer: 0.1256 sec. || PSNR: 22.5688 dB
===> Processing image: 13 || Timer: 0.1177 sec. || PSNR: 23.8946 dB
===> Processing image: 14 || Timer: 0.1157 sec. || PSNR: 22.9220 dB
===> Processing image: 15 || Timer: 0.1182 sec. || PSNR: 19.0548 dB
===> Processing image: 16 || Timer: 0.1178 sec. || PSNR: 24.9546 dB
===> Processing image: 17 || Timer: 0.1168 sec. || PSNR: 23.1899 dB
===> Processing image: 18 || Timer: 0.1162 sec. || PSNR: 19.0391 dB
===> Processing image: 19 || Timer: 0.1165 sec. || PSNR: 22.1263 dB
===> Processing image: 20 || Timer: 0.1147 sec. || PSNR: 25.6591 dB
===> Processing image: 21 || Timer: 0.1185 sec. || PSNR: 26.3198 dB
===> Processing image: 22 || Timer: 0.1060 sec. || PSNR: 27.5849 dB
===> Processing image: 23 || Timer: 0.0909 sec. || PSNR: 28.3426 dB
===> Processing image: 24 || Timer: 0.0836 sec. || PSNR: 24.4895 dB
===> Processing image: 25 || Timer: 0.0934 sec. || PSNR: 22.4030 dB
===> Processing image: 26 || Timer: 0.0872 sec. || PSNR: 29.6431 dB
===> Processing image: 27 || Timer: 0.0823 sec. || PSNR: 22.8293 dB
===> Processing image: 28 || Timer: 0.0912 sec. || PSNR: 29.7729 dB
===> Processing image: 29 || Timer: 0.0926 sec. || PSNR: 29.0301 dB
===> Processing image: 30 || Timer: 0.0887 sec. || PSNR: 21.8208 dB
===> Processing image: 31 || Timer: 0.0914 sec. || PSNR: 20.9908 dB
===> Processing image: 32 || Timer: 0.0845 sec. || PSNR: 20.7829 dB
